Row ID,Order ID,Order Date,Ship Mode,Customer ID,Postal Code,Product ID,Category,Sub-Category,Sales
0,CA-2017-152156,2017-08-11,2nd Class,CG-12520,42420,FUR-BO-10001798,Furniture,Bookcases,261.96
1,CA-2017-152156,2017-08-11,2nd Class,CG-12520,42420,FUR-CH-10000454,Furniture,Chairs,731.94
2,CA-2017-138688,2017-12-06,2nd Class,DV-13045,90036,OFF-LA-10000240,Office Supplies,Labels,14.62
3,US-2016-108966,2016-11-10,Std Class,SO-20335,33311,FUR-TA-10000577,Furniture,Tables,957.5775
4,US-2016-108966,2016-11-10,Std Class,SO-20335,33311,OFF-ST-10000760,Office Supplies,Storage,22.368
5,CA-2015-115812,2015-09-06,Std Class,BH-11710,90032,FUR-FU-10001487,Furniture,Furnishings,48.86
6,CA-2015-115812,2015-09-06,Std Class,BH-11710,90032,OFF-AR-10002833,Office Supplies,Art,7.28
7,CA-2015-115812,2015-09-06,Std Class,BH-11710,90032,TEC-PH-10002275,Technology,Phones,907.152
8,CA-2015-115812,2015-09-06,Std Class,BH-11710,90032,OFF-BI-10003910,Office Supplies,Binders,18.504
9,CA-2015-115812,2015-09-06,Std Class,BH-11710,90032,OFF-AP-10002892,Office Supplies,Appliances,114.9
10,CA-2015-115812,2015-09-06,Std Class,BH-11710,90032,FUR-TA-10001539,Furniture,Tables,1706.184
11,CA-2015-115812,2015-09-06,Std Class,BH-11710,90032,TEC-PH-10002033,Technology,Phones,911.424
12,CA-2018-114412,2018-04-15,Std Class,AA-10480,28027,OFF-PA-10002365,Office Supplies,Paper,15.552
13,CA-2017-161389,2017-05-12,Std Class,IM-15070,98103,OFF-BI-10003656,Office Supplies,Binders,407.976
14,US-2016-118983,2016-11-22,Std Class,HP-14815,76106,OFF-AP-10002311,Office Supplies,Appliances,68.81
15,US-2016-118983,2016-11-22,Std Class,HP-14815,76106,OFF-BI-10000756,Office Supplies,Binders,2.544
16,CA-2015-105893,2015-11-11,Std Class,PK-19075,53711,OFF-ST-10004186,Office Supplies,Storage,665.88
17,CA-2015-167164,2015-05-13,2nd Class,AG-10270,84084,OFF-ST-10000107,Office Supplies,Storage,55.5
18,CA-2015-143336,2015-08-27,2nd Class,ZD-21925,94109,OFF-AR-10003056,Office Supplies,Art,8.56
19,CA-2015-143336,2015-08-27,2nd Class,ZD-21925,94109,TEC-PH-10001949,Technology,Phones,213.48
20,CA-2015-143336,2015-08-27,2nd Class,ZD-21925,94109,OFF-BI-10002215,Office Supplies,Binders,22.72
21,CA-2017-137330,2017-09-12,Std Class,KB-16585,68025,OFF-AR-10000246,Office Supplies,Art,19.46
22,CA-2017-137330,2017-09-12,Std Class,KB-16585,68025,OFF-AP-10001492,Office Supplies,Appliances,60.34
23,US-2018-156909,2018-07-16,2nd Class,SF-20065,19140,FUR-CH-10002774,Furniture,Chairs,71.372
24,CA-2016-106320,2016-09-25,Std Class,EB-13870,84057,FUR-TA-10000577,Furniture,Tables,1044.63
25,CA-2017-121755,2017-01-16,2nd Class,EH-13945,90049,OFF-BI-10001634,Office Supplies,Binders,11.648
26,CA-2017-121755,2017-01-16,2nd Class,EH-13945,90049,TEC-AC-10003027,Technology,Accessories,90.57
27,US-2016-150630,2016-09-17,Std Class,TB-21520,19140,FUR-BO-10004834,Furniture,Bookcases,3083.43
28,US-2016-150630,2016-09-17,Std Class,TB-21520,19140,OFF-BI-10000474,Office Supplies,Binders,9.618
29,US-2016-150630,2016-09-17,Std Class,TB-21520,19140,FUR-FU-10004848,Furniture,Furnishings,124.2
30,US-2016-150630,2016-09-17,Std Class,TB-21520,19140,OFF-EN-10001509,Office Supplies,Envelopes,3.264
31,US-2016-150630,2016-09-17,Std Class,TB-21520,19140,OFF-AR-10004042,Office Supplies,Art,86.304
32,US-2016-150630,2016-09-17,Std Class,TB-21520,19140,OFF-BI-10001525,Office Supplies,Binders,6.858
33,US-2016-150630,2016-09-17,Std Class,TB-21520,19140,OFF-AR-10001683,Office Supplies,Art,15.76
34,CA-2018-107727,2018-10-19,2nd Class,MA-17560,77095,OFF-PA-10000249,Office Supplies,Paper,29.472
35,CA-2017-117590,2017-08-12,1st Class,GH-14485,75080,TEC-PH-10004977,Technology,Phones,1097.544
36,CA-2017-117590,2017-08-12,1st Class,GH-14485,75080,FUR-FU-10003664,Furniture,Furnishings,190.92
37,CA-2016-117415,2016-12-27,Std Class,SN-20710,77041,OFF-EN-10002986,Office Supplies,Envelopes,113.328
38,CA-2016-117415,2016-12-27,Std Class,SN-20710,77041,FUR-BO-10002545,Furniture,Bookcases,532.3992
39,CA-2016-117415,2016-12-27,Std Class,SN-20710,77041,FUR-CH-10004218,Furniture,Chairs,212.058
40,CA-2016-117415,2016-12-27,Std Class,SN-20710,77041,TEC-PH-10000486,Technology,Phones,371.168
41,CA-2018-120999,2018-10-09,Std Class,LC-16930,60540,TEC-PH-10004093,Technology,Phones,147.168
42,CA-2017-101343,2017-07-17,Std Class,RA-19885,90049,OFF-ST-10003479,Office Supplies,Storage,77.88
43,CA-2018-139619,2018-09-19,Std Class,ES-14080,32935,OFF-ST-10003282,Office Supplies,Storage,95.616
44,CA-2017-118255,2017-11-03,1st Class,ON-18715,55122,TEC-AC-10000171,Technology,Accessories,45.98
45,CA-2017-118255,2017-11-03,1st Class,ON-18715,55122,OFF-BI-10003291,Office Supplies,Binders,17.46
46,CA-2015-146703,2015-10-20,2nd Class,PO-18865,48185,OFF-ST-10001713,Office Supplies,Storage,211.96
47,CA-2017-169194,2017-06-20,Std Class,LH-16900,19901,TEC-AC-10002167,Technology,Accessories,45.0
48,CA-2017-169194,2017-06-20,Std Class,LH-16900,19901,TEC-PH-10003988,Technology,Phones,21.8
49,CA-2016-115742,2016-04-18,Std Class,DP-13000,47150,OFF-BI-10004410,Office Supplies,Binders,38.22
50,CA-2016-115742,2016-04-18,Std Class,DP-13000,47150,OFF-LA-10002762,Office Supplies,Labels,75.18
